numsampled,0.97,lci,hci
32300,4.1606,4.1444,4.1768
32400,4.1606,4.1435,4.1768
32500,4.1606,4.1433,4.1766
32600,4.1606,4.1435,4.1765
32700,4.1606,4.1432,4.1755
32800,4.1606,4.1436,4.1758
32900,4.1606,4.1435,4.1761
33000,4.1608,4.1442,4.1761
33100,4.1609,4.1443,4.1757
33200,4.1609,4.1446,4.1757
33300,4.1609,4.1443,4.176
33400,4.161,4.1438,4.1759
33500,4.161,4.144,4.1771
33600,4.1611,4.1434,4.1776
33700,4.1611,4.1434,4.1769
33800,4.1611,4.1437,4.1764
33900,4.1611,4.1428,4.1769
34000,4.1611,4.1429,4.1765
34100,4.1611,4.1426,4.176
34200,4.1611,4.143,4.1757
34300,4.1613,4.1437,4.1759
34400,4.1613,4.1448,4.1755
34500,4.1614,4.1441,4.1763
34600,4.1614,4.1438,4.1757
34700,4.1615,4.1439,4.1758
34800,4.1615,4.1438,4.1758
34900,4.1616,4.1431,4.1765
35000,4.1617,4.1432,4.1766
35100,4.1617,4.1433,4.1769
35200,4.1617,4.1432,4.1767
35300,4.1617,4.1434,4.1768
35400,4.1617,4.1438,4.1772
35500,4.1618,4.1441,4.177
35600,4.1619,4.1446,4.1769
35700,4.1619,4.144,4.1779
35800,4.1619,4.1441,4.1784
35900,4.1619,4.1445,4.1782
36000,4.162,4.1443,4.1777
36100,4.1621,4.1442,4.1776
36200,4.1621,4.1438,4.1786
36300,4.1622,4.144,4.1789
36400,4.1622,4.1444,4.179
36500,4.1623,4.1439,4.1791
36600,4.1623,4.1432,4.1788
36700,4.1624,4.1432,4.1787
36800,4.1625,4.1436,4.1792
36900,4.1625,4.1438,4.179
37000,4.1625,4.1433,4.1789
37100,4.1625,4.1433,4.1792
37200,4.1625,4.1427,4.1792
37300,4.1625,4.1424,4.1791
37400,4.1626,4.1432,4.1793
37500,4.1626,4.1429,4.1787
37600,4.1626,4.1422,4.1784
37700,4.1627,4.1426,4.1779
37800,4.1626,4.1424,4.1781
37900,4.1627,4.1425,4.1783
38000,4.1628,4.143,4.179
38100,4.1628,4.1432,4.1796
38200,4.1629,4.1432,4.1795
38300,4.163,4.1436,4.1805
38400,4.163,4.1433,4.1806
38500,4.1631,4.1426,4.1795
38600,4.1632,4.1433,4.1795
38700,4.1632,4.1436,4.1798
38800,4.1633,4.1433,4.1794
38900,4.1633,4.1439,4.179
39000,4.1634,4.1444,4.1796
39100,4.1634,4.1446,4.1786
39200,4.1634,4.1456,4.1787
39300,4.1635,4.1446,4.1785
39400,4.1636,4.1452,4.1783
39500,4.1637,4.1456,4.1791
39600,4.1638,4.1466,4.1788
39700,4.1638,4.1466,4.1793
39800,4.1638,4.1475,4.1789
39900,4.1639,4.1473,4.1785
40000,4.1638,4.1476,4.1781
40100,4.1638,4.1483,4.1781
40200,4.1639,4.1482,4.1787
40300,4.1639,4.1482,4.1784
40400,4.1639,4.148,4.1786
40500,4.1639,4.1475,4.1786
40600,4.164,4.1482,4.1783
40700,4.164,4.1477,4.1789
40800,4.1641,4.1473,4.1784
40900,4.1641,4.1473,4.1784
41000,4.1641,4.147,4.1788
41100,4.164,4.1472,4.1782
41200,4.164,4.1472,4.1787
41300,4.1641,4.1476,4.1782
41400,4.1641,4.1476,4.178
41500,4.1641,4.1476,4.1788
41600,4.1641,4.1474,4.1787
41700,4.1641,4.1478,4.1785
41800,4.1641,4.1477,4.1779
41900,4.1642,4.1476,4.1778
42000,4.1643,4.1471,4.179
42100,4.1642,4.1468,4.1787
42200,4.1643,4.1465,4.178
42300,4.1644,4.1471,4.1787
42400,4.1644,4.147,4.1786
42500,4.1645,4.1475,4.179
42600,4.1645,4.1483,4.1791
42700,4.1645,4.1484,4.179
42800,4.1645,4.1482,4.1798
42900,4.1646,4.1484,4.1793
43000,4.1646,4.1482,4.179
43100,4.1646,4.1486,4.179
43200,4.1647,4.1486,4.179
43300,4.1647,4.1485,4.1789
43400,4.1648,4.1482,4.1787
43500,4.1648,4.1487,4.1793
43600,4.1649,4.1485,4.179
43700,4.1649,4.1484,4.1789
43800,4.1649,4.1487,4.179
43900,4.1649,4.1475,4.179
44000,4.1649,4.1475,4.179
44100,4.165,4.1478,4.1789
