0,a,b,c
63800,3.4664,3.4455,3.4832
63900,3.4664,3.4454,3.4832
64000,3.4664,3.4459,3.4826
64100,3.4664,3.4461,3.4826
64200,3.4664,3.4459,3.4821
64300,3.4664,3.446,3.4823
64400,3.4664,3.446,3.4827
64500,3.4664,3.4454,3.4821
64600,3.4664,3.4459,3.4824
64700,3.4664,3.4465,3.4819
64800,3.4665,3.4468,3.4814
64900,3.4665,3.447,3.4818
65000,3.4666,3.447,3.4825
65100,3.4666,3.4472,3.4816
65200,3.4666,3.4479,3.4816
65300,3.4666,3.448,3.4811
65400,3.4666,3.4476,3.4811
65500,3.4666,3.4479,3.4816
65600,3.4665,3.4471,3.4808
65700,3.4665,3.4475,3.4804
65800,3.4665,3.4476,3.4807
65900,3.4666,3.4476,3.4812
66000,3.4666,3.4478,3.4816
66100,3.4666,3.4478,3.4817
66200,3.4666,3.4481,3.4814
66300,3.4665,3.4477,3.4817
66400,3.4665,3.4483,3.4828
66500,3.4666,3.4482,3.4829
66600,3.4666,3.4483,3.4829
66700,3.4666,3.4482,3.4832
66800,3.4667,3.4489,3.4834
66900,3.4667,3.4497,3.4831
67000,3.4668,3.4497,3.4832
67100,3.4668,3.4497,3.483
67200,3.4668,3.4499,3.4834
67300,3.4669,3.4497,3.4831
67400,3.4669,3.4494,3.4833
67500,3.4669,3.4501,3.4831
67600,3.4669,3.45,3.483
67700,3.4668,3.4501,3.4836
67800,3.4669,3.4503,3.4837
67900,3.4669,3.4505,3.4837
68000,3.4669,3.4497,3.4835
68100,3.4669,3.45,3.4834
68200,3.467,3.4498,3.4833
68300,3.467,3.4493,3.4837
68400,3.467,3.4489,3.484
68500,3.467,3.4495,3.4842
68600,3.467,3.4492,3.4846
68700,3.467,3.4486,3.4843
68800,3.467,3.4483,3.4839
68900,3.467,3.4481,3.4842
69000,3.4669,3.4484,3.4848
69100,3.467,3.4485,3.4843
69200,3.467,3.4486,3.4843
69300,3.4671,3.4481,3.4838
69400,3.467,3.4481,3.4839
69500,3.4671,3.4478,3.4838
69600,3.4671,3.448,3.4837
69700,3.4671,3.4481,3.4839
69800,3.4671,3.4481,3.4841
69900,3.4672,3.448,3.4844
70000,3.4672,3.4487,3.4844
70100,3.4672,3.449,3.4847
70200,3.4673,3.4495,3.4846
70300,3.4673,3.4497,3.4844
70400,3.4673,3.4498,3.485
70500,3.4673,3.4493,3.4845
70600,3.4673,3.4493,3.4844
70700,3.4673,3.4498,3.4846
70800,3.4673,3.4496,3.4845
70900,3.4673,3.45,3.4845
71000,3.4673,3.4496,3.4842
71100,3.4673,3.4498,3.484
71200,3.4674,3.4502,3.4837
71300,3.4674,3.4502,3.4835
71400,3.4674,3.4502,3.4834
71500,3.4674,3.4503,3.4836
71600,3.4675,3.4504,3.4836
71700,3.4675,3.4503,3.4833
71800,3.4675,3.4498,3.4834
71900,3.4675,3.4497,3.4833
72000,3.4676,3.4498,3.4833
72100,3.4676,3.4499,3.4831
72200,3.4677,3.4498,3.483
72300,3.4677,3.45,3.4833
72400,3.4676,3.4497,3.4834
72500,3.4676,3.4493,3.4836
72600,3.4677,3.4494,3.4833
72700,3.4677,3.4497,3.484
72800,3.4676,3.45,3.4839
72900,3.4676,3.4499,3.4835
73000,3.4676,3.4505,3.484
73100,3.4675,3.4507,3.4837
73200,3.4676,3.4509,3.4838
73300,3.4676,3.4516,3.4841
73400,3.4677,3.4517,3.4835
73500,3.4677,3.4516,3.4833
73600,3.4677,3.4519,3.4825
73700,3.4677,3.4515,3.4825
73800,3.4677,3.4515,3.4827
73900,3.4678,3.4516,3.4831
74000,3.4678,3.4513,3.4835
74100,3.4678,3.451,3.4831
74200,3.4678,3.4514,3.4833
74300,3.4678,3.4516,3.4837
74400,3.4678,3.4518,3.4847
74500,3.4678,3.4518,3.485
74600,3.4678,3.4518,3.4843
74700,3.4678,3.4516,3.4848
74800,3.4678,3.4517,3.4842
74900,3.4679,3.4514,3.4839
75000,3.468,3.4517,3.4843
75100,3.468,3.4517,3.4844
75200,3.468,3.4519,3.484
75300,3.4681,3.452,3.4838
75400,3.4681,3.452,3.4837
75500,3.4681,3.4513,3.4834
75600,3.4681,3.4514,3.4837
75700,3.4681,3.4517,3.484
75800,3.4681,3.4516,3.4838
75900,3.4681,3.4517,3.484
76000,3.4682,3.4519,3.4845
76100,3.4682,3.452,3.4843
76200,3.4682,3.4516,3.484
76300,3.4682,3.451,3.484
76400,3.4681,3.4511,3.4837
76500,3.4682,3.4517,3.4839
76600,3.4682,3.4516,3.4841
76700,3.4682,3.4521,3.4839
76800,3.4682,3.4515,3.484
76900,3.4682,3.4518,3.4842
77000,3.4682,3.4523,3.4836
77100,3.4683,3.4518,3.4832
77200,3.4683,3.4525,3.4833
77300,3.4684,3.4521,3.483
77400,3.4684,3.4524,3.4827
77500,3.4684,3.4523,3.4826
77600,3.4685,3.4525,3.4827
77700,3.4685,3.4528,3.4826
77800,3.4685,3.4528,3.483
77900,3.4686,3.4526,3.483
78000,3.4685,3.4527,3.4827
78100,3.4685,3.4526,3.4826
78200,3.4686,3.4529,3.4828
78300,3.4686,3.4529,3.4829
78400,3.4687,3.4529,3.4823
78500,3.4687,3.4527,3.4827
78600,3.4687,3.4525,3.4829
78700,3.4687,3.4523,3.4827
78800,3.4688,3.4524,3.4826
78900,3.4688,3.4525,3.4824
