numsampled,0.97,lci,hci
53200,1095.32,1070,1129
53300,1096.15,1071,1130
53400,1096.9,1072,1131
53500,1097.8,1072,1131
53600,1098.5,1072,1132
53700,1099.36,1075,1133
53800,1099.98,1075,1133
53900,1100.84,1077,1134
54000,1101.69,1078,1134
54100,1102.59,1078,1136
54200,1103.51,1078,1136
54300,1104.32,1078,1136
54400,1105.26,1079,1139
54500,1106.25,1080,1140
54600,1107.02,1080,1140
54700,1107.73,1080,1142
54800,1108.58,1080,1142
54900,1109.27,1080,1144
55000,1110.26,1083,1145
55100,1110.98,1083,1145
55200,1111.7,1083,1145
55300,1112.49,1084,1147
55400,1113.24,1084,1148
55500,1114.03,1084,1148
55600,1114.83,1086,1148
55700,1115.67,1087,1150
55800,1116.44,1088,1150
55900,1117.23,1088,1151
56000,1118,1090,1151
56100,1118.84,1092,1152
56200,1119.71,1092,1152
56300,1120.52,1094,1152
56400,1121.18,1095,1154
56500,1121.87,1096,1155
56600,1122.74,1097,1156
56700,1123.5,1097,1156
56800,1124.26,1098,1156
56900,1124.94,1098,1156
57000,1125.85,1098,1159
57100,1126.88,1099,1160
57200,1127.58,1100,1160
57300,1128.37,1101,1161
57400,1129.04,1101,1161
57500,1129.73,1103,1162
57600,1130.57,1104,1162
57700,1131.2,1104,1162
57800,1131.95,1104,1162
57900,1132.75,1104,1162
58000,1133.56,1104,1162
58100,1134.42,1104,1163
58200,1135.21,1105,1163
58300,1136.12,1105,1165
58400,1136.96,1105,1166
58500,1137.62,1105,1166
58600,1138.45,1105,1168
58700,1139.27,1107,1168
58800,1140.04,1108,1169
58900,1140.89,1108,1170
59000,1141.7,1109,1172
59100,1142.41,1109,1174
59200,1143.23,1110,1175
59300,1144.04,1110,1175
59400,1144.89,1111,1176
59500,1145.8,1111,1176
59600,1146.65,1111,1178
59700,1147.43,1113,1178
59800,1148.29,1113,1180
59900,1148.92,1114,1180
60000,1149.72,1114,1182
60100,1150.53,1114,1182
60200,1151.31,1114,1183
60300,1152.03,1115,1184
60400,1152.61,1116,1184
60500,1153.33,1119,1186
60600,1154.14,1120,1188
60700,1154.95,1121,1189
60800,1155.89,1122,1189
60900,1156.62,1122,1190
61000,1157.3,1124,1192
61100,1158.07,1125,1192
61200,1158.87,1127,1193
61300,1159.65,1127,1193
61400,1160.34,1128,1194
61500,1161.02,1130,1194
61600,1161.78,1131,1196
